step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.7866666666666667,0.5499999999999999,0.692,,,2.542372881355932
40,0.5666666666666667,0.5499999999999999,0.5599999999999999,,,5.0
50,,,,33.6575,7.547169811320755e-05,6.271186440677966
60,0.5416666666666666,0.5499999999999999,0.5449999999999999,,,7.5423728813559325
80,0.5166666666666667,0.5499999999999999,0.53,,,10.0
100,,,,3.6373,6.357611716513103e-05,12.542372881355933
100,0.525,0.5499999999999999,0.5349999999999999,,,12.542372881355933
120,0.5416666666666666,0.5499999999999999,0.5449999999999999,,,15.0
140,0.525,0.5499999999999999,0.5349999999999999,,,17.54237288135593
150,,,,1.8465,2.5528384204663388e-05,18.8135593220339
160,0.5333333333333333,0.5499999999999999,0.54,,,20.0
180,0.5333333333333333,0.5499999999999999,0.54,,,22.54237288135593
200,,,,1.4014,7.981432318121851e-07,25.0
200,0.5416666666666666,0.5499999999999999,0.5449999999999999,,,25.0
210,,,,,,26.271186440677965
