step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.7416666666666667,0.5499999999999999,0.665,,,2.542372881355932
40,0.5083333333333333,0.5499999999999999,0.5249999999999999,,,5.0
50,,,,36.6258,7.547169811320755e-05,6.271186440677966
60,0.5,0.5499999999999999,0.52,,,7.5423728813559325
80,0.5,0.5499999999999999,0.52,,,10.0
100,,,,4.0773,6.357611716513103e-05,12.542372881355933
100,0.5,0.5499999999999999,0.52,,,12.542372881355933
120,0.5,0.5499999999999999,0.52,,,15.0
140,0.5,0.5499999999999999,0.52,,,17.54237288135593
150,,,,2.1515,2.5528384204663388e-05,18.8135593220339
160,0.5,0.5499999999999999,0.52,,,20.0
180,0.5,0.5499999999999999,0.52,,,22.54237288135593
200,,,,1.6636,7.981432318121851e-07,25.0
200,0.5,0.5499999999999999,0.52,,,25.0
210,,,,,,26.271186440677965
