step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.6916666666666667,0.5666666666666664,0.6416666666666666,,,2.542372881355932
40,0.55,0.6333333333333331,0.5833333333333333,,,5.0
50,,,,28.7091,7.547169811320755e-05,6.271186440677966
60,0.55,0.5791666666666664,0.5616666666666665,,,7.5423728813559325
80,0.5333333333333333,0.5833333333333331,0.5533333333333332,,,10.0
100,,,,10.0342,6.357611716513103e-05,12.542372881355933
100,0.55,0.5749999999999997,0.5599999999999999,,,12.542372881355933
120,0.55,0.5874999999999998,0.565,,,15.0
140,0.5333333333333333,0.5874999999999998,0.5549999999999999,,,17.54237288135593
150,,,,7.4223,2.5528384204663388e-05,18.8135593220339
160,0.5333333333333333,0.5916666666666665,0.5566666666666666,,,20.0
180,0.5416666666666666,0.5874999999999998,0.5599999999999998,,,22.54237288135593
200,,,,6.3582,7.981432318121851e-07,25.0
200,0.5416666666666666,0.5916666666666665,0.5616666666666665,,,25.0
210,,,,,,26.271186440677965
